"Year","Homicide","Suicide"
"1915",0.52,4.032
"1916",0.42,3.702
"1917",0.43,3.056
"1918",0.48,3.281
"1919",0.83,2.985
"1920",0.62,3.694
"1921",0.37,3.226
"1922",0.43,2.19
"1923",0.28,2.6
"1924",0.46,3.08
"1925",0.27,2.93
"1926",0.58,2.923
"1927",0.57,3.235
"1928",0.51,2.983
"1929",0.75,3.284
"1930",0.68,3.807
"1931",0.77,3.785
"1932",0.46,2.646
"1933",0.5,3.092
"1934",0.42,3.205
"1935",0.61,3.107
"1936",0.46,3.467
"1937",0.57,2.984
"1938",0.35,3.218
"1939",0.39,2.827
"1940",0.58,3.182
"1941",0.24,2.236
"1942",0.24,2.033
"1943",0.26,1.645
"1944",0.42,1.628
"1945",0.37,1.678
"1946",0.38,2.331
"1947",0.41,2.494
"1948",0.39,2.257
"1949",0.24,2.656
"1950",0.16,2.299
"1951",0.44,2.6
"1952",0.51,3.045
"1953",0.37,2.791
"1954",0.43,3.227
"1955",0.41,2.967
"1956",0.33,2.939
"1957",0.52,3.278
"1958",0.55,3.424
"1959",0.55,3.073
"1960",0.5,2.754
"1961",0.53,2.91
"1962",0.6,3.174
"1963",0.56,3.068
"1964",0.57,3.09
"1965",0.5,2.907
"1966",0.54,2.931
"1967",0.56,3.026
"1968",0.69,2.94
"1969",0.44,2.691
"1970",0.57,3.198
"1971",0.6,3.076
"1972",0.47,2.864
"1973",0.59,3.014
"1974",0.6,3.053
"1975",0.63,2.865
"1976",0.61,3.057
"1977",0.7,2.959
"1978",0.48,3.252
"1979",0.7,3.603
"1980",0.7,3.498
"1981",0.6,3.297
"1982",0.7,3.602
"1983",0.6,3.3
"1984",0.8,3.402
"1985",0.6,3.503
"1986",0.6,3.402
"1987",0.6,3.499
"1988",0.7,3.2
"1989",0.5,2.7
"1990",0.5,2.801
"1991",0.5,2.899
"1992",0.6,2.801
"1993",0.33,2.4
"1994",0.27,2.403
"1995",0.32,2.202
"1996",0.54,2.103
"1997",0.41,1.798
"1998",0.29,1.202
"1999",0.33,1.4
"2000",0.31,1.201
"2001",0.26,1.298
"2002",0.21,1.1
"2003",0.19,1.001
"2004",0.16,0.836

Deaths from homicides and suicides in Australia

